Operating Systems,os
Software Engineering,seng
Probability and Statistics,stats
Physics III for Engineers,phys3
Introduction to Algorithms,algorithms
Genetics,genetics
Physics II: Electricity and Magnetism,magnetism
Programming Languages and Translators,compilers
Systems Programming,systems
Database Organization,dbs
Principles of Chemistry I,chem1
Introduction to Distributed Systems,distributed_systems
Data Mining,data_mining
